school,abbr,ftEmployed,ftGradschool,ptEmployed,gapYear,jobSearch,careerFTE,careerServices,orgsRecruiting,operatingBudget,employerPartners,totalCostAttendance,pellGrants,graduatingClassSize,totalSchoolSize,totalRevenue,retentionRate,studentFacultyRatio,graduationRate,financialAidFirst,financialAidAll,fulltimeFaculty,numberApplicants,admitRate,admitYield
Amherst College,AMH,65,17,5,4,4,0,0,49,0,0,64006,22,473,1792,509282844,98,8,95,68,1785,220,8477,14,40
Bard College,BAR,0,0,0,0,0,0,0,0,0,0,64712,21,903,2112,147211457,88,10,79,70,2014,180,6960,45,18
Barnard College,BAR,0,0,0,0,0,0,0,0,0,0,63220,18,583,2573,184901000,95,10,90,55,2489,214,5676,24,46
Bates College,BAT,0,0,0,0,0,0,0,0,0,0,62770,12,448,1773,138605017,95,10,88,51,1791,166,5044,25,38
Bowdoin College,BOW,0,0,0,0,0,0,0,0,0,0,61650,14,491,1805,329951000,98,9,95,48,1795,206,6935,15,49
Bryn Mawr College,BRY,0,0,0,0,0,0,0,0,0,0,61890,16,514,1308,211448000,91,8,82,76,1328,167,2706,40,32
Bucknell University,BUC,0,0,0,0,0,0,0,0,0,0,63040,12,879,3565,293740000,93,10,90,59,3532,403,7864,31,39
Carleton College,CAR,0,0,0,0,0,0,0,0,0,0,62465,13,487,2057,232997499,97,9,94,80,2045,228,6297,23,36
Centre College,CEN,0,0,0,0,0,0,0,0,0,0,49440,15,328,1387,100689677,90,10,87,98,1381,126,2494,72,22
Claremont McKenna College,CLA,0,0,0,0,0,0,0,0,0,0,64215,12,367,1301,205309000,96,8,92,49,1316,167,6043,11,50
Colby College,COL,0,0,0,0,0,0,0,0,0,0,61100,12,477,1847,245441000,92,10,90,51,1820,173,5148,28,33
Colgate University,COL,0,0,0,0,0,0,0,0,0,0,62405,11,749,2875,279680034,95,9,90,49,2890,316,8717,26,34
College of the Holy Cross,COL,0,0,0,0,0,0,0,0,0,0,59642,17,679,2787,276632022,94,10,93,66,2912,285,5302,43,34
Colorado College,COL,0,0,0,0,0,0,0,0,0,0,60500,10,576,2050,125797273,94,10,90,55,2041,190,7602,18,40
Connecticut College,CON,0,0,0,0,0,0,0,0,0,0,62895,14,465,1893,142910000,91,9,85,59,1915,203,5394,38,25
Davidson College,DAV,0,0,0,0,0,0,0,0,0,0,60921,13,471,1770,219781586,95,10,92,64,1788,179,5560,22,42
Dickinson College,DIC,0,0,0,0,0,0,0,0,0,0,62289,11,583,2364,173787170,90,10,85,74,2396,229,5702,48,23
