school,abbr,ftEmployed,ftGradschool,ptEmployed,gapYear,jobSearch,careerFTE,careerServices,orgsRecruiting,operatingBudget,employerPartners,totalCostAttendance,pellGrants,graduatingClassSize,totalSchoolSize,totalRevenue,retentionRate,studentFacultyRatio,graduationRate,financialAidFirst,financialAidAll,fulltimeFaculty,numberApplicants,admitRate,admitYield
Amherst College,AMH,0,0,0,0,0,0,0,0,0,0,66572,23,471,1795,237923923,98,8,96,68,1792,223,8568,14,39
Bard College,BAR,0,0,0,0,0,0,0,0,0,0,66724,21,566,2042,161397908,85,10,74,70,2112,177,7044,32,20
Barnard College,BAR,0,0,0,0,0,0,0,0,0,0,65261,18,692,2548,169435000,95,10,90,56,2573,214,6655,20,49
Bates College,BAT,0,0,0,0,0,0,0,0,0,0,64590,11,484,1792,104915298,95,10,93,47,1773,159,5651,22,42
Bowdoin College,BOW,0,0,0,0,0,0,0,0,0,0,63440,14,474,1799,323164000,97,9,93,47,1805,212,6790,15,50
Bryn Mawr College,BRY,0,0,0,0,0,0,0,0,0,0,63990,16,524,1346,141453000,94,8,84,75,1308,160,2890,39,35
Bucknell University,BUC,0,0,0,0,0,0,0,0,0,0,65268,11,890,3569,198776000,93,10,91,59,3565,400,10967,25,35
Carleton College,CAR,0,0,0,0,0,0,0,0,0,0,64420,13,480,2014,139784425,96,9,92,77,2057,229,6722,21,35
Centre College,CEN,0,0,0,0,0,0,0,0,0,0,51030,14,329,1367,58439581,89,11,82,99,1387,125,2716,71,19
Claremont McKenna College,CLA,0,0,0,0,0,0,0,0,0,0,66325,12,342,1328,114206000,95,8,93,50,1301,168,7156,11,44
Colby College,COL,0,0,0,0,0,0,0,0,0,0,63330,11,491,1857,141917000,93,10,93,45,1847,180,7593,23,30
Colgate University,COL,0,0,0,0,0,0,0,0,0,0,64800,12,736,2853,208864433,95,9,91,51,2875,304,8724,27,32
College of the Holy Cross,COL,0,0,0,0,0,0,0,0,0,0,61524,16,724,2729,232245294,96,10,91,69,2787,289,6595,37,30
Colorado College,COL,0,0,0,0,0,0,0,0,0,0,63600,11,525,2118,143398533,96,10,87,57,2050,197,8060,17,42
Connecticut College,CON,0,0,0,0,0,0,0,0,0,0,64965,14,442,1918,119160000,90,9,84,53,1893,201,5182,40,23
Davidson College,DAV,0,0,0,0,0,0,0,0,0,0,62894,15,468,1784,167966102,96,10,92,70,1770,176,5382,22,43
Dickinson College,DIC,0,0,0,0,0,0,0,0,0,0,64541,11,562,2420,139371879,92,10,86,75,2364,232,6031,47,26
Franklin and Marshall College,FRA,0,0,0,0,0,0,0,0,0,0,65640,17,553,2249,153222624,92,9,87,63,2209,273,7146,32,26
Grinnell College,GRI,0,0,0,0,0,0,0,0,0,0,61498,22,402,1705,74835000,94,9,86,92,1734,196,6414,25,28
Hamilton College,HAM,0,0,0,0,0,0,0,0,0,0,63870,16,505,1877,129871000,93,9,93,57,1904,207,5434,25,35
Harvey Mudd College,HAR,0,0,0,0,0,0,0,0,0,0,69355,13,184,825,48216544,96,8,91,77,804,99,4119,13,40
Haverford College,HAV,0,0,0,0,0,0,0,0,0,0,66648,16,298,1233,95025813,97,8,93,59,1194,142,3467,25,41
Kenyon College,KEN,0,0,0,0,0,0,0,0,0,0,64360,10,431,1711,117999867,93,10,89,61,1779,189,6644,26,29
Lafayette College,LAF,0,0,0,0,0,0,0,0,0,0,63680,10,595,2533,140887931,95,10,88,55,2503,234,7465,30,30
Macalester College,MAC,0,0,0,0,0,0,0,0,0,0,61853,17,455,2172,136018000,95,10,87,87,2073,198,6030,39,25
Middlebury College,MID,0,0,0,0,0,0,0,0,0,0,63456,13,897,2542,282706000,97,8,94,50,2526,303,8891,17,38
Mount Holyoke College,MOU,0,0,0,0,0,0,0,0,0,0,58646,20,662,2126,126354590,90,10,82,82,2189,243,3858,50,27
Oberlin College,OBE,0,0,0,0,0,0,0,0,0,0,66870,10,728,2912,186444995,92,9,89,89,2961,331,7815,29,35
Occidental College,OCC,0,0,0,0,0,0,0,0,0,0,67046,20,504,2021,111649171,93,10,88,70,2040,171,5911,45,20
Pitzer College,PIT,0,0,0,0,0,0,0,0,0,0,65880,15,263,1067,59005475,93,11,82,46,1076,87,4149,13,47
Pomona College,POM,0,0,0,0,0,0,0,0,0,0,64870,20,392,1663,154066000,97,7,96,66,1650,212,8099,10,48
Rhodes College,RHO,0,0,0,0,0,0,0,0,0,0,57714,14,489,2046,97366554,91,10,78,94,2031,194,4666,47,26
Scripps College,SCR,0,0,0,0,0,0,0,0,0,0,66060,11,257,973,68386706,94,10,84,59,972,88,2613,28,38
Sewanee-The University of the South,SEW,0,0,0,0,0,0,0,0,0,0,51950,19,391,1710,99115732,89,10,78,85,1635,166,4509,41,26
Skidmore College,SKI,0,0,0,0,0,0,0,0,0,0,64850,14,614,2634,179061000,94,8,86,58,2632,276,8508,36,22
Smith College,SMI,0,0,0,0,0,0,0,0,0,0,64486,21,855,2478,303062101,90,9,86,72,2563,323,5006,38,32
Soka University of America,SOK,0,0,0,0,0,0,0,0,0,0,46504,29,99,432,13237000,93,8,84,100,411,52,451,46,61
Swarthmore College,SWA,0,0,0,0,0,0,0,0,0,0,64363,15,391,1581,128097000,98,8,93,59,1542,211,7818,12,42
Trinity College,TRI,0,0,0,0,0,0,0,0,0,0,66420,10,546,2289,177642724,88,10,86,48,2316,204,7569,33,22
Union College,UNI,0,0,0,0,0,0,0,0,0,0,64245,14,511,2269,157518221,93,10,88,84,2242,221,5996,38,25
University of Richmond,UNI,0,0,0,0,0,0,0,0,0,0,61370,18,1100,3329,423341000,93,8,85,67,3346,400,9977,31,26
Vassar College,VAS,0,0,0,0,0,0,0,0,0,0,65480,24,611,2435,162291000,94,8,94,71,2421,276,7567,26,34
Washington and Lee University,WAS,0,0,0,0,0,0,0,0,0,0,61235,10,641,1854,169743000,96,8,90,63,1890,249,5377,24,35
Wellesley College,WEL,0,0,0,0,0,0,0,0,0,0,63390,19,545,2510,268307000,95,7,91,65,2323,347,4623,30,43
Wesleyan University,WES,0,0,0,0,0,0,0,0,0,0,65443,18,880,2897,236760000,95,8,92,50,2928,369,9822,22,35
Whitman College,WHI,0,0,0,0,0,0,0,0,0,0,59902,10,374,1470,85049166,93,9,88,80,1498,179,3790,43,22
Williams College,WIL,0,0,0,0,0,0,0,0,0,0,66240,18,563,2119,438902651,97,7,95,59,2072,297,6883,18,45
